"","choice","countries","sanctions"
"50305","Not supported","80 of 192","5%"
"50313","Not supported","80 of 192","5%"
"50321","Supported","160 of 192","None"
"50329","Not supported","160 of 192","20%"
"50337","Supported","80 of 192","20%"
"50345","Supported","80 of 192","15%"
"50353","Supported","80 of 192","20%"
"50361","Not supported","80 of 192","20%"
"50369","Not supported","80 of 192","5%"
"50377","Not supported","160 of 192","5%"
"50385","Not supported","160 of 192","15%"
"50393","Supported","80 of 192","20%"
"50401","Not supported","20 of 192","20%"
"50409","Not supported","80 of 192","20%"
"50417","Not supported","20 of 192","None"
"50425","Supported","20 of 192","20%"
"50433","Not supported","80 of 192","20%"
"50441","Not supported","20 of 192","15%"
"50449","Not supported","80 of 192","20%"
"50457","Not supported","80 of 192","None"
"50465","Supported","160 of 192","15%"
"50473","Supported","20 of 192","None"
"50481","Supported","20 of 192","20%"
"50489","Not supported","160 of 192","20%"
"50497","Not supported","20 of 192","None"
"50505","Not supported","80 of 192","5%"
"50513","Not supported","20 of 192","5%"
"50521","Supported","160 of 192","5%"
"50529","Supported","160 of 192","20%"
"50537","Supported","160 of 192","None"
"50545","Not supported","80 of 192","20%"
"50553","Supported","80 of 192","None"
"50561","Supported","20 of 192","20%"
"50569","Supported","160 of 192","None"
"50577","Not supported","20 of 192","5%"
"50585","Not supported","20 of 192","15%"
"50593","Supported","20 of 192","None"
"50601","Not supported","80 of 192","15%"
"50609","Supported","80 of 192","5%"
"50617","Not supported","160 of 192","None"
"50625","Supported","80 of 192","None"
"50633","Supported","160 of 192","None"
"50641","Supported","20 of 192","None"
"50649","Not supported","20 of 192","None"
"50657","Not supported","20 of 192","None"
"50665","Supported","20 of 192","20%"
"50673","Not supported","20 of 192","15%"
"50681","Not supported","80 of 192","15%"
"50689","Supported","20 of 192","15%"
"50697","Supported","80 of 192","15%"
"50705","Not supported","80 of 192","None"
"50713","Supported","80 of 192","5%"
"50721","Supported","20 of 192","5%"
"50729","Not supported","160 of 192","15%"
"50737","Not supported","20 of 192","15%"
"50745","Supported","20 of 192","5%"
"50753","Not supported","160 of 192","None"
"50761","Supported","20 of 192","20%"
"50769","Not supported","20 of 192","None"
"50777","Not supported","80 of 192","None"
"50785","Supported","160 of 192","20%"
"50793","Not supported","80 of 192","20%"
"50801","Supported","80 of 192","20%"
"50809","Not supported","80 of 192","None"
"50817","Not supported","80 of 192","None"
"50825","Supported","160 of 192","5%"
"50833","Not supported","20 of 192","None"
"50841","Not supported","160 of 192","5%"
"50849","Not supported","160 of 192","None"
"50857","Supported","20 of 192","None"
"50865","Supported","160 of 192","None"
"50873","Not supported","160 of 192","15%"
"50881","Not supported","80 of 192","20%"
"50889","Supported","20 of 192","5%"
"50897","Not supported","80 of 192","15%"
"50905","Not supported","20 of 192","15%"
"50913","Not supported","160 of 192","5%"
"50921","Supported","160 of 192","20%"
"50929","Supported","80 of 192","5%"
"50937","Supported","80 of 192","20%"
"50945","Not supported","160 of 192","20%"
"50953","Supported","20 of 192","15%"
"50961","Supported","160 of 192","5%"
"50969","Not supported","160 of 192","20%"
"50977","Not supported","160 of 192","15%"
"50985","Not supported","20 of 192","15%"
"50993","Supported","20 of 192","None"
"51001","Supported","160 of 192","None"
"51009","Supported","20 of 192","None"
"51017","Supported","160 of 192","5%"
"51025","Supported","160 of 192","15%"
"51033","Not supported","20 of 192","20%"
"51041","Supported","160 of 192","5%"
"51049","Not supported","160 of 192","15%"
"51057","Not supported","20 of 192","5%"
"51065","Not supported","20 of 192","None"
"51073","Supported","160 of 192","5%"
"51081","Not supported","80 of 192","15%"
"51089","Not supported","20 of 192","20%"
"51097","Not supported","80 of 192","None"
"51105","Supported","80 of 192","15%"
"51113","Supported","160 of 192","5%"
"51121","Not supported","160 of 192","20%"
"51129","Supported","20 of 192","5%"
"51137","Not supported","160 of 192","20%"
"51145","Supported","20 of 192","5%"
"51153","Not supported","80 of 192","20%"
"51161","Not supported","20 of 192","20%"
"51169","Supported","160 of 192","15%"
"51177","Supported","20 of 192","5%"
"51185","Not supported","160 of 192","None"
"51193","Not supported","160 of 192","20%"
"51201","Not supported","80 of 192","15%"
"51209","Not supported","160 of 192","15%"
"51217","Not supported","80 of 192","15%"
"51225","Not supported","80 of 192","15%"
"51233","Not supported","20 of 192","None"
"51241","Supported","160 of 192","20%"
"51249","Supported","160 of 192","20%"
"51257","Supported","80 of 192","None"
"51265","Not supported","20 of 192","None"
"51273","Not supported","160 of 192","None"
"51281","Supported","160 of 192","15%"
"51289","Supported","80 of 192","None"
"51297","Not supported","160 of 192","5%"
"51305","Not supported","20 of 192","5%"
"51313","Not supported","160 of 192","None"
"51321","Not supported","20 of 192","20%"
"51329","Not supported","80 of 192","20%"
"51337","Not supported","20 of 192","15%"
"51345","Not supported","80 of 192","20%"
"51353","Supported","20 of 192","20%"
"51361","Supported","20 of 192","5%"
"51369","Not supported","80 of 192","None"
"51377","Not supported","80 of 192","15%"
"51385","Not supported","80 of 192","None"
"51393","Supported","80 of 192","None"
"51401","Not supported","20 of 192","5%"
"51409","Supported","80 of 192","15%"
"51417","Supported","80 of 192","5%"
"51425","Not supported","20 of 192","5%"
"51433","Supported","160 of 192","None"
"51441","Supported","80 of 192","20%"
"51449","Supported","80 of 192","5%"
"51457","Supported","20 of 192","20%"
"51465","Supported","20 of 192","15%"
"51473","Supported","160 of 192","5%"
"51481","Not supported","20 of 192","20%"
"51489","Not supported","160 of 192","20%"
"51497","Supported","160 of 192","15%"
"51505","Not supported","80 of 192","5%"
"51513","Supported","160 of 192","None"
"51521","Not supported","20 of 192","None"
"51529","Not supported","80 of 192","5%"
"51537","Not supported","160 of 192","5%"
"51545","Supported","80 of 192","20%"
"51553","Supported","80 of 192","None"
"51561","Supported","160 of 192","15%"
"51569","Not supported","20 of 192","15%"
"51577","Supported","80 of 192","None"
"51585","Supported","80 of 192","None"
"51593","Supported","80 of 192","20%"
"51601","Supported","80 of 192","20%"
"51609","Supported","20 of 192","5%"
"51617","Not supported","160 of 192","None"
"51625","Not supported","80 of 192","20%"
"51633","Not supported","20 of 192","15%"
"51641","Supported","160 of 192","None"
"51649","Supported","80 of 192","None"
"51657","Not supported","20 of 192","15%"
"51665","Supported","20 of 192","None"
"51673","Not supported","160 of 192","20%"
"51681","Not supported","20 of 192","5%"
"51689","Not supported","80 of 192","15%"
"51697","Not supported","160 of 192","None"
"51705","Not supported","160 of 192","None"
"51713","Not supported","160 of 192","5%"
"51721","Supported","80 of 192","15%"
"51729","Supported","80 of 192","None"
"51737","Supported","80 of 192","15%"
"51745","Not supported","20 of 192","20%"
"51753","Not supported","20 of 192","None"
"51761","Supported","80 of 192","5%"
"51769","Supported","160 of 192","None"
"51777","Supported","160 of 192","5%"
"51785","Supported","160 of 192","5%"
"51793","Not supported","80 of 192","15%"
"51801","Supported","20 of 192","None"
"51809","Not supported","20 of 192","None"
"51817","Not supported","160 of 192","20%"
"51825","Supported","160 of 192","5%"
"51833","Supported","20 of 192","None"
"51841","Not supported","80 of 192","5%"
"51849","Not supported","80 of 192","20%"
"51857","Supported","80 of 192","20%"
"51865","Supported","80 of 192","None"
"51873","Supported","160 of 192","15%"
"51881","Supported","20 of 192","None"
"51889","Not supported","80 of 192","None"
"51897","Supported","80 of 192","None"
"51905","Not supported","20 of 192","20%"
"51913","Not supported","20 of 192","5%"
"51921","Not supported","20 of 192","20%"
"51929","Supported","20 of 192","15%"
"51937","Not supported","20 of 192","15%"
"51945","Supported","20 of 192","15%"
"51953","Supported","80 of 192","20%"
"51961","Not supported","80 of 192","20%"
"51969","Not supported","80 of 192","15%"
"51977","Not supported","80 of 192","None"
"51985","Not supported","80 of 192","5%"
"51993","Not supported","80 of 192","None"
"52001","Not supported","20 of 192","None"
"52009","Not supported","160 of 192","5%"
"52017","Supported","20 of 192","None"
"52025","Not supported","20 of 192","20%"
"52033","Not supported","80 of 192","20%"
"52041","Supported","80 of 192","20%"
"52049","Supported","160 of 192","15%"
"52057","Supported","20 of 192","15%"
"52065","Not supported","80 of 192","15%"
"52073","Not supported","160 of 192","5%"
"52081","Supported","20 of 192","20%"
"52089","Not supported","80 of 192","None"
"52097","Not supported","20 of 192","20%"
"52105","Supported","160 of 192","15%"
"52113","Not supported","20 of 192","5%"
"52121","Supported","80 of 192","5%"
"52129","Supported","20 of 192","15%"
"52137","Not supported","160 of 192","5%"
"52145","Supported","80 of 192","5%"
"52153","Supported","160 of 192","15%"
"52161","Supported","160 of 192","None"
"52169","Not supported","80 of 192","20%"
"52177","Not supported","20 of 192","None"
"52185","Not supported","80 of 192","20%"
"52193","Not supported","20 of 192","15%"
"52201","Not supported","160 of 192","None"
"52209","Supported","20 of 192","15%"
"52217","Not supported","160 of 192","20%"
"52225","Supported","20 of 192","20%"
"52233","Not supported","80 of 192","5%"
"52241","Not supported","20 of 192","20%"
"52249","Supported","160 of 192","15%"
"52257","Supported","20 of 192","5%"
"52265","Not supported","20 of 192","None"
"52273","Not supported","80 of 192","20%"
"52281","Supported","20 of 192","5%"
"52289","Not supported","20 of 192","20%"
"52297","Not supported","20 of 192","20%"
"52305","Supported","160 of 192","5%"
"52313","Not supported","80 of 192","5%"
"52321","Supported","160 of 192","None"
"52329","Not supported","20 of 192","20%"
"52337","Not supported","20 of 192","None"
"52345","Supported","20 of 192","20%"
"52353","Not supported","160 of 192","None"
"52361","Supported","80 of 192","5%"
"52369","Supported","80 of 192","20%"
"52377","Not supported","20 of 192","20%"
"52385","Not supported","80 of 192","15%"
"52393","Supported","20 of 192","5%"
"52401","Not supported","160 of 192","15%"
"52409","Supported","20 of 192","15%"
"52417","Not supported","80 of 192","None"
"52425","Not supported","80 of 192","5%"
"52433","Supported","20 of 192","20%"
"52441","Not supported","160 of 192","20%"
"52449","Not supported","160 of 192","20%"
"52457","Not supported","80 of 192","20%"
"52465","Supported","80 of 192","15%"
"52473","Supported","20 of 192","5%"
"52481","Supported","20 of 192","None"
"52489","Supported","160 of 192","None"
"52497","Not supported","80 of 192","5%"
"52505","Supported","160 of 192","20%"
"52513","Not supported","80 of 192","15%"
"52521","Not supported","160 of 192","5%"
"52529","Supported","160 of 192","15%"
"52537","Supported","20 of 192","5%"
"52545","Supported","80 of 192","20%"
"52553","Supported","20 of 192","None"
"52561","Supported","160 of 192","15%"
"52569","Supported","20 of 192","20%"
"52577","Not supported","160 of 192","5%"
"52585","Not supported","80 of 192","20%"
"52593","Supported","20 of 192","None"
"52601","Not supported","80 of 192","5%"
"52609","Supported","20 of 192","None"
"52617","Supported","160 of 192","20%"
"52625","Supported","20 of 192","5%"
"52633","Supported","20 of 192","20%"
"52641","Not supported","20 of 192","None"
"52649","Supported","80 of 192","None"
"52657","Supported","80 of 192","None"
"52665","Supported","160 of 192","15%"
"52673","Not supported","80 of 192","None"
"52681","Supported","160 of 192","15%"
"52689","Not supported","80 of 192","None"
"52697","Not supported","20 of 192","15%"
"52705","Not supported","80 of 192","20%"
"52713","Not supported","20 of 192","15%"
"52721","Supported","20 of 192","None"
"52729","Not supported","20 of 192","20%"
"52737","Not supported","20 of 192","20%"
"52745","Supported","20 of 192","5%"
"52753","Not supported","80 of 192","5%"
"52761","Supported","80 of 192","15%"
"52769","Not supported","20 of 192","15%"
"52777","Not supported","80 of 192","20%"
"52785","Not supported","160 of 192","15%"
"52793","Not supported","160 of 192","None"
"52801","Not supported","20 of 192","None"
"52809","Not supported","80 of 192","15%"
"52817","Not supported","80 of 192","5%"
"52825","Supported","80 of 192","None"
"52833","Not supported","80 of 192","20%"
"52841","Supported","20 of 192","20%"
"52849","Supported","20 of 192","15%"
"52857","Supported","160 of 192","5%"
"52865","Supported","80 of 192","5%"
"52873","Supported","160 of 192","5%"
"52881","Not supported","160 of 192","20%"
"52889","Supported","80 of 192","None"
"52897","Not supported","20 of 192","None"
"52905","Not supported","80 of 192","15%"
"52913","Supported","80 of 192","None"
"52921","Supported","80 of 192","15%"
"52929","Supported","80 of 192","15%"
"52937","Not supported","160 of 192","5%"
"52945","Supported","160 of 192","None"
"52953","Not supported","20 of 192","20%"
"52961","Not supported","80 of 192","15%"
"52969","Not supported","160 of 192","20%"
"52977","Not supported","80 of 192","15%"
"52985","Not supported","20 of 192","20%"
"52993","Not supported","160 of 192","None"
"53001","Not supported","80 of 192","15%"
"53009","Supported","160 of 192","20%"
"53017","Supported","160 of 192","None"
"53025","Supported","20 of 192","20%"
"53033","Not supported","20 of 192","20%"
"53041","Supported","20 of 192","15%"
"53049","Not supported","160 of 192","20%"
"53057","Not supported","80 of 192","15%"
"53065","Supported","20 of 192","5%"
"53073","Not supported","20 of 192","None"
"53081","Supported","80 of 192","20%"
"53089","Supported","160 of 192","15%"
"53097","Supported","80 of 192","None"
"53105","Supported","80 of 192","15%"
"53113","Not supported","160 of 192","5%"
"53121","Not supported","160 of 192","None"
"53129","Supported","160 of 192","20%"
"53137","Not supported","160 of 192","20%"
"53145","Not supported","20 of 192","20%"
"53153","Supported","160 of 192","15%"
"53161","Supported","160 of 192","20%"
"53169","Supported","160 of 192","5%"
"53177","Not supported","160 of 192","20%"
"53185","Supported","160 of 192","15%"
"53193","Supported","160 of 192","15%"
"53201","Not supported","80 of 192","15%"
"53209","Supported","160 of 192","5%"
"53217","Not supported","20 of 192","15%"
"53225","Not supported","20 of 192","20%"
"53233","Not supported","20 of 192","None"
"53241","Supported","160 of 192","5%"
"53249","Not supported","80 of 192","15%"
"53257","Not supported","20 of 192","None"
"53265","Supported","160 of 192","15%"
"53273","Not supported","80 of 192","15%"
"53281","Not supported","80 of 192","15%"
"53289","Supported","80 of 192","20%"
"53297","Supported","80 of 192","15%"
"53305","Not supported","80 of 192","20%"
"53313","Supported","80 of 192","15%"
"53321","Supported","80 of 192","15%"
"53329","Not supported","80 of 192","15%"
"53337","Not supported","80 of 192","20%"
"53345","Supported","20 of 192","20%"
"53353","Not supported","80 of 192","20%"
"53361","Not supported","160 of 192","20%"
"53369","Supported","20 of 192","None"
"53377","Supported","80 of 192","15%"
"53385","Not supported","80 of 192","20%"
"53393","Supported","160 of 192","15%"
"53401","Supported","160 of 192","15%"
"53409","Not supported","80 of 192","None"
"53417","Supported","80 of 192","None"
"53425","Not supported","160 of 192","None"
"53433","Not supported","20 of 192","15%"
"53441","Supported","160 of 192","15%"
"53449","Not supported","20 of 192","20%"
"53457","Not supported","20 of 192","None"
"53465","Supported","80 of 192","20%"
"53473","Not supported","20 of 192","None"
"53481","Supported","80 of 192","20%"
"53489","Not supported","80 of 192","20%"
"53497","Not supported","160 of 192","None"
"53505","Supported","80 of 192","20%"
"53513","Not supported","20 of 192","20%"
"53521","Not supported","80 of 192","20%"
"53529","Supported","160 of 192","15%"
"53537","Not supported","20 of 192","20%"
"53545","Not supported","80 of 192","20%"
"53553","Not supported","20 of 192","20%"
"53561","Supported","80 of 192","20%"
"53569","Not supported","20 of 192","20%"
"53577","Supported","160 of 192","20%"
"53585","Supported","160 of 192","15%"
"53593","Not supported","20 of 192","None"
"53601","Not supported","20 of 192","5%"
"53609","Not supported","160 of 192","15%"
"53617","Not supported","80 of 192","20%"
"53625","Not supported","20 of 192","None"
"53633","Not supported","80 of 192","5%"
"53641","Not supported","20 of 192","15%"
"53649","Not supported","160 of 192","20%"
"53657","Not supported","20 of 192","20%"
"53665","Supported","160 of 192","None"
"53673","Supported","80 of 192","5%"
"53681","Not supported","160 of 192","15%"
"53689","Not supported","20 of 192","5%"
"53697","Supported","20 of 192","5%"
"53705","Not supported","80 of 192","None"
"53713","Supported","20 of 192","None"
"53721","Supported","160 of 192","None"
"53729","Supported","20 of 192","5%"
"53737","Not supported","20 of 192","15%"
"53745","Supported","20 of 192","5%"
"53753","Not supported","160 of 192","5%"
"53761","Not supported","80 of 192","15%"
"53769","Supported","80 of 192","5%"
"53777","Supported","160 of 192","20%"
"53785","Supported","160 of 192","None"
"53793","Not supported","80 of 192","15%"
"53801","Not supported","160 of 192","15%"
"53809","Not supported","80 of 192","20%"
"53817","Supported","160 of 192","15%"
"53825","Not supported","20 of 192","5%"
"53833","Supported","20 of 192","15%"
"53841","Supported","20 of 192","None"
"53849","Supported","160 of 192","5%"
"53857","Not supported","20 of 192","None"
"53865","Supported","20 of 192","20%"
"53873","Supported","160 of 192","5%"
"53881","Not supported","160 of 192","20%"
"53889","Supported","160 of 192","15%"
"53897","Supported","80 of 192","20%"
"53905","Supported","160 of 192","15%"
"53913","Not supported","160 of 192","15%"
"53921","Supported","160 of 192","15%"
"53929","Not supported","80 of 192","5%"
"53937","Not supported","160 of 192","5%"
"53945","Supported","20 of 192","15%"
"53953","Not supported","80 of 192","20%"
"53961","Not supported","160 of 192","5%"
"53969","Not supported","20 of 192","15%"
"53977","Not supported","160 of 192","15%"
"53985","Supported","160 of 192","15%"
"53993","Not supported","80 of 192","5%"
"54001","Not supported","160 of 192","5%"
"54009","Supported","80 of 192","None"
"54017","Supported","80 of 192","5%"
"54025","Not supported","20 of 192","None"
"54033","Supported","80 of 192","None"
"54041","Supported","160 of 192","20%"
"54049","Supported","160 of 192","None"
"54057","Not supported","20 of 192","15%"
"54065","Not supported","80 of 192","15%"
"54073","Not supported","20 of 192","5%"
"54081","Not supported","160 of 192","5%"
"54089","Supported","20 of 192","20%"
"54097","Supported","80 of 192","None"
"54105","Supported","160 of 192","20%"
"54113","Not supported","80 of 192","15%"
"54121","Supported","80 of 192","5%"
"54129","Not supported","20 of 192","None"
"54137","Supported","20 of 192","20%"
"54145","Supported","160 of 192","15%"
"54153","Not supported","20 of 192","None"
"54161","Not supported","20 of 192","20%"
"54169","Supported","160 of 192","None"
"54177","Not supported","80 of 192","20%"
"54185","Not supported","20 of 192","15%"
"54193","Not supported","80 of 192","15%"
"54201","Not supported","20 of 192","5%"
"54209","Supported","160 of 192","20%"
"54217","Supported","160 of 192","None"
"54225","Not supported","160 of 192","15%"
"54233","Not supported","20 of 192","20%"
"54241","Supported","80 of 192","None"
"54249","Not supported","160 of 192","5%"
"54257","Not supported","160 of 192","15%"
"54265","Not supported","160 of 192","5%"
"54273","Not supported","20 of 192","20%"
"54281","Supported","20 of 192","None"
"54289","Not supported","80 of 192","5%"
"54297","Supported","160 of 192","20%"
"54305","Supported","20 of 192","5%"
"54313","Not supported","160 of 192","20%"
"54321","Not supported","20 of 192","15%"
"54329","Supported","20 of 192","5%"
"54337","Not supported","20 of 192","15%"
"54345","Not supported","80 of 192","None"
"54353","Supported","160 of 192","5%"
"54361","Supported","80 of 192","15%"
"54369","Supported","20 of 192","15%"
"54377","Supported","160 of 192","20%"
"54385","Not supported","80 of 192","None"
"54393","Not supported","20 of 192","20%"
"54401","Supported","160 of 192","5%"
"54409","Supported","20 of 192","20%"
"54417","Not supported","20 of 192","5%"
"54425","Not supported","80 of 192","20%"
"54433","Supported","80 of 192","None"
"54441","Not supported","20 of 192","15%"
"54449","Supported","80 of 192","20%"
"54457","Supported","160 of 192","15%"
"54465","Not supported","160 of 192","15%"
"54473","Not supported","20 of 192","20%"
"54481","Supported","80 of 192","20%"
"54489","Supported","20 of 192","None"
"54497","Not supported","80 of 192","20%"
"54505","Supported","80 of 192","15%"
"54513","Not supported","20 of 192","15%"
"54521","Not supported","80 of 192","5%"
"54529","Supported","160 of 192","None"
"54537","Supported","80 of 192","15%"
"54545","Not supported","80 of 192","15%"
"54553","Supported","80 of 192","None"
"54561","Not supported","20 of 192","15%"
"54569","Not supported","160 of 192","15%"
"54577","Supported","20 of 192","15%"
"54585","Not supported","160 of 192","5%"
"54593","Supported","80 of 192","15%"
"54601","Supported","160 of 192","20%"
"54609","Not supported","160 of 192","15%"
"54617","Supported","20 of 192","None"
"54625","Supported","80 of 192","15%"
"54633","Supported","20 of 192","5%"
"54641","Not supported","20 of 192","None"
"54649","Not supported","20 of 192","5%"
"54657","Not supported","80 of 192","20%"
"54665","Supported","80 of 192","5%"
"54673","Supported","160 of 192","5%"
"54681","Supported","160 of 192","5%"
"54689","Supported","20 of 192","None"
"54697","Supported","160 of 192","15%"
"54705","Supported","160 of 192","15%"
"54713","Not supported","20 of 192","15%"
"54721","Supported","20 of 192","5%"
"54729","Not supported","160 of 192","15%"
"54737","Supported","20 of 192","15%"
"54745","Not supported","80 of 192","None"
"54753","Not supported","20 of 192","5%"
"54761","Supported","160 of 192","5%"
"54769","Not supported","80 of 192","None"
"54777","Not supported","160 of 192","15%"
"54785","Not supported","20 of 192","5%"
"54793","Not supported","80 of 192","20%"
"54801","Not supported","80 of 192","15%"
"54809","Not supported","80 of 192","None"
"54817","Supported","20 of 192","None"
"54825","Supported","20 of 192","15%"
"54833","Supported","160 of 192","5%"
"54841","Not supported","20 of 192","5%"
"54849","Not supported","80 of 192","20%"
"54857","Supported","20 of 192","5%"
"54865","Supported","20 of 192","15%"
"54873","Not supported","160 of 192","20%"
"54881","Not supported","80 of 192","20%"
"54889","Not supported","20 of 192","5%"
"54897","Supported","20 of 192","15%"
"54905","Not supported","20 of 192","5%"
"54913","Not supported","20 of 192","15%"
"54921","Not supported","160 of 192","None"
"54929","Supported","20 of 192","None"
"54937","Not supported","80 of 192","20%"
"54945","Not supported","20 of 192","5%"
"54953","Supported","160 of 192","5%"
"54961","Not supported","160 of 192","15%"
"54969","Not supported","160 of 192","5%"
"54977","Supported","80 of 192","None"
"54985","Not supported","20 of 192","None"
"54993","Supported","80 of 192","15%"
"55001","Supported","20 of 192","15%"
"55009","Supported","80 of 192","5%"
"55017","Supported","80 of 192","None"
"55025","Supported","160 of 192","5%"
"55033","Not supported","80 of 192","20%"
"55041","Not supported","160 of 192","15%"
"55049","Supported","160 of 192","5%"
"55057","Supported","160 of 192","None"
"55065","Not supported","20 of 192","15%"
"55073","Supported","20 of 192","5%"
"55081","Supported","80 of 192","15%"
"55089","Not supported","80 of 192","None"
"55097","Supported","80 of 192","5%"
"55105","Not supported","20 of 192","15%"
"55113","Supported","80 of 192","None"
"55121","Not supported","80 of 192","20%"
"55129","Supported","160 of 192","15%"
"55137","Not supported","20 of 192","15%"
"55145","Supported","160 of 192","None"
"55153","Not supported","80 of 192","None"
"55161","Supported","80 of 192","None"
"55169","Not supported","20 of 192","15%"
"55177","Not supported","20 of 192","5%"
"55185","Supported","20 of 192","None"
"55193","Not supported","80 of 192","15%"
"55201","Supported","160 of 192","15%"
"55209","Supported","80 of 192","20%"
"55217","Supported","160 of 192","20%"
"55225","Not supported","20 of 192","15%"
"55233","Not supported","80 of 192","15%"
"55241","Supported","160 of 192","None"
"55249","Supported","160 of 192","None"
"55257","Not supported","80 of 192","20%"
"55265","Supported","160 of 192","None"
"55273","Not supported","160 of 192","15%"
"55281","Supported","160 of 192","15%"
"55289","Supported","80 of 192","15%"
"55297","Supported","160 of 192","20%"
"55305","Supported","80 of 192","5%"
"55313","Not supported","160 of 192","20%"
"55321","Supported","80 of 192","15%"
"55329","Supported","160 of 192","None"
"55337","Not supported","160 of 192","5%"
"55345","Supported","20 of 192","None"
"55353","Supported","160 of 192","5%"
"55361","Not supported","20 of 192","20%"
"55369","Supported","80 of 192","15%"
"55377","Supported","20 of 192","15%"
"55385","Supported","160 of 192","5%"
"55393","Supported","20 of 192","15%"
"55401","Supported","20 of 192","None"
"55409","Not supported","20 of 192","None"
"55417","Supported","160 of 192","15%"
"55425","Supported","160 of 192","15%"
"55433","Supported","160 of 192","None"
"55441","Not supported","160 of 192","15%"
"55449","Supported","160 of 192","15%"
"55457","Not supported","20 of 192","None"
"55465","Not supported","160 of 192","15%"
"55473","Supported","20 of 192","None"
"55481","Not supported","20 of 192","5%"
"55489","Not supported","160 of 192","None"
"55497","Not supported","160 of 192","15%"
"55505","Supported","20 of 192","15%"
"55513","Not supported","160 of 192","None"
"55521","Not supported","80 of 192","15%"
"55529","Not supported","20 of 192","None"
"55537","Not supported","20 of 192","15%"
"55545","Supported","80 of 192","5%"
"55553","Supported","160 of 192","None"
"55561","Not supported","20 of 192","5%"
"55569","Supported","20 of 192","5%"
"55577","Supported","160 of 192","5%"
"55585","Not supported","80 of 192","20%"
"55593","Supported","80 of 192","None"
"55601","Supported","20 of 192","20%"
"55609","Not supported","160 of 192","20%"
"55617","Supported","20 of 192","20%"
"55625","Supported","80 of 192","None"
"55633","Not supported","20 of 192","None"
"55641","Supported","80 of 192","15%"
"55649","Not supported","80 of 192","5%"
"55657","Supported","80 of 192","None"
"55665","Supported","80 of 192","5%"
"55673","Supported","160 of 192","5%"
"55681","Not supported","20 of 192","20%"
"55689","Supported","160 of 192","5%"
"55697","Not supported","160 of 192","20%"
"55705","Not supported","20 of 192","None"
"55713","Supported","20 of 192","15%"
"55721","Supported","80 of 192","None"
"55729","Supported","20 of 192","20%"
"55737","Supported","160 of 192","15%"
"55745","Not supported","20 of 192","15%"
"55753","Not supported","80 of 192","15%"
"55761","Not supported","160 of 192","15%"
"55769","Not supported","20 of 192","20%"
"55777","Not supported","20 of 192","5%"
"55785","Not supported","80 of 192","5%"
"55793","Not supported","20 of 192","20%"
"55801","Supported","20 of 192","None"
"55809","Supported","20 of 192","5%"
"55817","Supported","20 of 192","None"
"55825","Supported","80 of 192","15%"
"55833","Not supported","20 of 192","5%"
"55841","Not supported","20 of 192","20%"
"55849","Supported","80 of 192","5%"
"55857","Supported","20 of 192","None"
"55865","Not supported","160 of 192","15%"
"55873","Not supported","80 of 192","20%"
"55881","Not supported","20 of 192","None"
"55889","Not supported","160 of 192","None"
"55897","Not supported","20 of 192","20%"
"55905","Supported","160 of 192","20%"
"55913","Supported","80 of 192","20%"
"55921","Supported","20 of 192","15%"
"55929","Supported","80 of 192","None"
"55937","Not supported","20 of 192","5%"
"55945","Supported","20 of 192","None"
"55953","Supported","160 of 192","15%"
"55961","Supported","80 of 192","15%"
"55969","Not supported","160 of 192","15%"
"55977","Not supported","160 of 192","5%"
"55985","Not supported","20 of 192","20%"
"55993","Not supported","20 of 192","5%"
"56001","Not supported","80 of 192","15%"
"56009","Supported","20 of 192","None"
"56017","Supported","20 of 192","None"
"56025","Not supported","80 of 192","20%"
"56033","Not supported","160 of 192","None"
"56041","Not supported","20 of 192","15%"
"56049","Supported","160 of 192","5%"
"56057","Supported","80 of 192","15%"
"56065","Supported","160 of 192","20%"
"56073","Supported","80 of 192","5%"
"56081","Supported","80 of 192","15%"
"56089","Not supported","80 of 192","15%"
"56097","Supported","20 of 192","15%"
"56105","Not supported","20 of 192","5%"
"56113","Not supported","20 of 192","5%"
"56121","Not supported","20 of 192","20%"
"56129","Supported","20 of 192","5%"
"56137","Supported","160 of 192","15%"
"56145","Supported","20 of 192","None"
"56153","Not supported","80 of 192","5%"
"56161","Supported","80 of 192","20%"
"56169","Supported","80 of 192","None"
"56177","Not supported","20 of 192","15%"
"56185","Not supported","80 of 192","None"
"56193","Not supported","160 of 192","None"
"56201","Supported","160 of 192","None"
"56209","Supported","20 of 192","15%"
"56217","Not supported","20 of 192","15%"
"56225","Supported","20 of 192","None"
"56233","Supported","20 of 192","None"
"56241","Supported","80 of 192","20%"
"56249","Not supported","80 of 192","15%"
"56257","Not supported","160 of 192","20%"
"56265","Supported","160 of 192","15%"
"56273","Not supported","160 of 192","15%"
"56281","Supported","160 of 192","5%"
"56289","Supported","20 of 192","None"
"56297","Not supported","20 of 192","20%"
"56305","Not supported","80 of 192","None"
"56313","Not supported","20 of 192","5%"
"56321","Supported","160 of 192","20%"
"56329","Not supported","160 of 192","15%"
"56337","Not supported","20 of 192","5%"
"56345","Not supported","80 of 192","15%"
"56353","Not supported","20 of 192","5%"
"56361","Supported","80 of 192","None"
"56369","Not supported","160 of 192","15%"
"56377","Supported","160 of 192","15%"
"56385","Not supported","20 of 192","15%"
"56393","Not supported","80 of 192","5%"
"56401","Supported","160 of 192","20%"
"56409","Not supported","160 of 192","None"
"56417","Not supported","80 of 192","20%"
