"","choice","countries","sanctions"
"4201","Supported","160 of 192","5%"
"4209","Supported","80 of 192","15%"
"4217","Supported","160 of 192","None"
"4225","Supported","160 of 192","5%"
"4233","Not supported","20 of 192","20%"
"4241","Supported","80 of 192","15%"
"4249","Not supported","20 of 192","None"
"4257","Not supported","80 of 192","None"
"4265","Supported","160 of 192","15%"
"4273","Supported","160 of 192","5%"
"4281","Not supported","20 of 192","None"
"4289","Supported","20 of 192","None"
"4297","Not supported","20 of 192","5%"
"4305","Supported","80 of 192","None"
"4313","Supported","160 of 192","5%"
"4321","Supported","160 of 192","20%"
"4329","Not supported","20 of 192","5%"
"4337","Supported","20 of 192","5%"
"4345","Supported","80 of 192","20%"
"4353","Not supported","80 of 192","5%"
"4361","Supported","160 of 192","None"
"4369","Not supported","80 of 192","20%"
"4377","Supported","160 of 192","15%"
"4385","Supported","80 of 192","5%"
"4393","Not supported","20 of 192","15%"
"4401","Not supported","20 of 192","20%"
"4409","Not supported","20 of 192","None"
"4417","Supported","20 of 192","5%"
"4425","Supported","160 of 192","None"
"4433","Not supported","160 of 192","15%"
"4441","Not supported","20 of 192","20%"
"4449","Supported","80 of 192","5%"
"4457","Supported","160 of 192","5%"
"4465","Not supported","20 of 192","5%"
"4473","Not supported","160 of 192","20%"
"4481","Not supported","20 of 192","5%"
"4489","Not supported","80 of 192","20%"
"4497","Supported","160 of 192","15%"
"4505","Supported","20 of 192","None"
"4513","Supported","20 of 192","None"
"4521","Supported","80 of 192","20%"
"4529","Not supported","20 of 192","15%"
"4537","Not supported","160 of 192","5%"
"4545","Not supported","20 of 192","15%"
"4553","Supported","160 of 192","20%"
"4561","Supported","160 of 192","5%"
"4569","Not supported","160 of 192","None"
"4577","Not supported","80 of 192","20%"
"4585","Not supported","20 of 192","15%"
"4593","Not supported","80 of 192","15%"
"4601","Not supported","80 of 192","None"
"4609","Not supported","160 of 192","None"
"4617","Not supported","80 of 192","15%"
"4625","Supported","160 of 192","5%"
"4633","Not supported","80 of 192","20%"
"4641","Supported","20 of 192","5%"
"4649","Supported","80 of 192","15%"
"4657","Not supported","20 of 192","None"
"4665","Not supported","80 of 192","15%"
"4673","Supported","80 of 192","5%"
"4681","Supported","160 of 192","5%"
"4689","Supported","160 of 192","15%"
"4697","Supported","80 of 192","20%"
"4705","Not supported","20 of 192","5%"
"4713","Supported","80 of 192","15%"
"4721","Not supported","20 of 192","20%"
"4729","Not supported","160 of 192","15%"
"4737","Not supported","80 of 192","5%"
"4745","Supported","80 of 192","15%"
"4753","Not supported","20 of 192","20%"
"4761","Not supported","80 of 192","20%"
"4769","Not supported","160 of 192","5%"
"4777","Supported","20 of 192","20%"
"4785","Supported","80 of 192","20%"
"4793","Supported","20 of 192","20%"
"4801","Supported","80 of 192","20%"
"4809","Not supported","80 of 192","20%"
"4817","Not supported","20 of 192","5%"
"4825","Not supported","20 of 192","None"
"4833","Not supported","80 of 192","20%"
"4841","Supported","160 of 192","5%"
"4849","Supported","20 of 192","None"
"4857","Supported","160 of 192","None"
"4865","Not supported","20 of 192","15%"
"4873","Supported","160 of 192","15%"
"4881","Not supported","20 of 192","20%"
"4889","Supported","80 of 192","15%"
"4897","Supported","80 of 192","5%"
"4905","Supported","160 of 192","None"
